l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
332.81,24.15,3.74,75.89,49.14,616.6987567673161,1644.08940192086,1833.5343663032515,809.5882298206762,783.9725212959371,26.676210365854434,145.9201896179715,110.68027996649005,0.05778359393360927,0.003896137518256784,3.11479398086357,0.5969600677305253
400.65,15.01,4.9,74.27,41.05,1510.8982623323054,878.7021175370058,1785.6815600098735,838.0412148033663,72.27213900351586,15.490687108057111,104.9040072573078,108.65563666503813,0.05798927680760198,0.003943242484406832,1.6917658230827366,0.365785787004592
655.4,22.91,4.83,82.58,52.73,916.966872070963,688.3945811470211,1027.579182229,789.4146793502662,63.64450887155352,14.522225705190506,143.65139079258222,102.82890706996385,0.06039100706560905,0.00462993171537574,1.494231283777539,0.3049645908334679
477.76,15.85,2.33,95.61,50.18,1266.0430427964618,4770.31235076824,2466.9084971497145,1008.7778758344577,1206.61866577661,20.105570424668418,105.22361553599738,93.29184985839242,0.0650601987500592,0.001700569517553689,2.0294239139421357,0.5498755169405449
307.42,26.47,4.23,79.47,41.59,588.8706267078227,1048.6053554354176,1928.389058648718,638.8756569592044,491.4277062926699,29.40493652199765,158.60127219094633,137.2733287472699,0.047893873164023215,0.007510940897189458,2.1179316746385473,0.5604226582459053
151.68,25.53,2.92,78.63,51.49,892.9382253379836,2597.241443374646,2535.9630168872486,981.2819453497781,1132.1166103657786,26.680913178337335,151.62301299008993,112.91410368503004,0.0582942681445921,0.002278911714684099,3.093831838773763,0.5828183605336229
403.9,20.1,3.74,86.11,58.86,642.6986083606653,2434.2480036861502,1733.4975471514801,984.8922628086619,1053.7762568772403,26.653846299945062,126.46857348072464,91.35304431405417,0.06789132956161158,0.0022492802127008216,4.015125438869938,0.5879650126162744
291.84,15.7,4.28,76.53,52.63,1353.7991057539457,1165.6096723024723,1782.6476954471111,1031.5113794386832,73.63355588911007,18.26727561144499,106.26555223318205,93.15416343481796,0.0677827984917356,0.003413461184654985,1.4339498708013845,0.33310420244540323
590.67,20.41,3.72,51.77,46.14,644.3462473511416,2002.6590532654002,1780.9172808509463,794.7126096845624,941.8143866509597,26.774113865801986,130.07568585352215,103.04726641257675,0.06310147000440416,0.002594136587205709,3.4935321410208973,0.5978027602671899
216.98,22.36,2.45,98.51,54.42,1047.0502137011513,3331.9776755185408,2508.2024980998067,1040.0229265304363,1098.2116533414453,21.535058648812885,135.6397455311993,101.31337444639537,0.06211073607733735,0.0021380224165625066,2.31592746973924,0.5604732271523436
125.96,10.1,4.21,63.95,59.58,1355.8229360767505,3535.877875089326,3147.0747601254175,1523.074384645909,176.3883837319457,33.335007729921145,79.97065473447648,84.02711823415521,0.07971860032473703,0.0024550912490599827,1.6147830762681705,0.5790376573014202
623.66,26.91,2.48,93.51,59.02,780.5036973579307,2126.6692002698323,1152.4494793147885,852.2663888165498,1011.7128724039621,14.356203013481103,159.66122794747355,98.98356132128345,0.0618683096656193,0.0032237472993512377,1.6021572400457544,0.3503652423916419
289.03,26.82,3.14,58.84,48.35,711.7240209770953,1739.229199450917,2019.6338515737646,775.4837075254768,911.1669794542848,24.426671616695856,159.7327565762646,115.60923488626473,0.05780371317855862,0.0029769829002066124,2.8857721461482218,0.5216078098954983
397.13,22.02,3.82,82.07,42.22,647.2713614767492,1626.4663192874457,1951.3829088747436,735.1498378726833,762.8886117496704,27.950291924552115,136.64986459943773,120.61291558521712,0.05251213404723055,0.00404827167232972,3.01707587735893,0.5727622759791335
147.12,15.7,3.21,50.58,57.17,1026.9844230772792,4721.831521926767,2885.03272597608,1319.2753269953644,1316.7938893127614,31.085506564844806,105.1977775149383,87.25339453595663,0.07905791586057588,0.003252834061931359,4.10781100479094,0.6212326310283652
154.17,28.14,3.28,95.03,56.61,747.07371379475,2107.8892372931045,2216.6339878180547,996.5083545639953,1022.1212339645206,27.553967990504844,164.495869207241,111.41642588950651,0.058590542917571736,0.0027209654488876103,3.3099571709906446,0.5938093760320381
683.56,22.1,4.55,78.53,44.62,533.5369395003313,1236.0499538660235,1553.967388716709,713.8480352816214,469.4814552400582,27.7461600090053,141.33569210551306,115.06148694056962,0.05442801026234684,0.005815990105327022,2.1006912330840386,0.5760440638300526
460.31,17.78,3.08,60.17,48.93,865.661795809285,3182.048001319803,2167.705455187607,922.1352496111484,1183.0191738753501,25.25799848142744,116.3434059119811,95.7629953507423,0.06627699562204244,0.0021415250788548636,3.4719316523039594,0.5816050491513358
359.58,16.92,4.34,82.72,55.38,695.5223334492985,2002.7623725461885,1930.1841314247924,1005.6638943278509,477.974594113777,29.35129174994572,111.59646714760399,90.7757693630937,0.06751394029770658,0.004089021865104771,2.2145438905994985,0.5696682099273537
443.54,22.08,3.8,71.6,51.74,606.8013839483791,1855.6422181799219,1703.0481685399118,850.6803271170081,874.5653586963817,26.323738129628463,137.4744970618811,101.4403362309641,0.06235599816537839,0.0029708545440999385,3.416546175273109,0.5946011598758096
698.5,26.8,3.98,79.98,55.49,469.5989626293655,1379.7356240689937,1241.3827062212079,770.5742109380593,1003.0641427919821,24.286091161969654,160.47895440365144,103.67247421849775,0.0602421565679459,0.0030857191635973303,3.667189938907556,0.5877078404748259
388.17,29.38,4.41,58.68,57.74,488.96689497463296,998.0730044233261,1399.886838788093,791.9804266706277,366.53146522659284,24.31911669967107,172.2920343489521,103.18902776945856,0.06489445662567364,0.006499590384534958,1.7592232241487098,0.5794272329396735
155.51,27.71,4.39,76.22,43.99,659.6323948010042,1134.839874150369,2130.8444681659353,719.5536810495765,402.9417269987769,31.701249287515175,164.723283587251,137.88693299399003,0.049107802113034636,0.008278190053078761,1.671018374739028,0.5729685793510894
628.28,12.77,2.02,93.98,52.46,1745.9737236766769,6772.393571488342,2308.3625208026997,1094.5457928120477,1180.142135451126,16.94785874580126,91.95432589909063,85.78696485561521,0.06986537680411356,0.001884244820226453,2.045883119942311,0.5357195394740947
545.7,17.66,2.27,53.6,48.59,1199.3942351098203,3966.2903623315174,2197.125461192238,935.3687854424195,1095.5590306751558,17.992991942801225,114.35821349613643,93.04665812378425,0.06853493595104848,0.0023556090332757878,1.9645812928291428,0.5169319551704187
520.85,20.32,2.74,73.13,55.28,871.2401029892709,2948.4313241032605,1798.650283151246,942.7463503194188,1142.5933085393328,20.197790991855975,127.22043184637208,92.45547409549121,0.06720484737650603,0.002423901136855297,2.617493378270981,0.5583162266383519
